,open,close,low,high,volume,money,factor,high_limit,low_limit,avg,pre_close,paused,DKX,MADKX
2024-04-15,44.14,44.56,44.09,45.15,22027768.0,984050772.26,1.0,48.5,39.68,44.673,44.09,0.0,44.45714285714286,
2024-04-16,44.33,44.26,43.79,44.65,23385721.0,1033684469.67,1.0,49.02,40.1,44.202,44.56,0.0,44.26857142857143,
2024-04-17,44.35,44.39,43.84,44.78,23275600.0,1032367343.51,1.0,48.69,39.83,44.354,44.26,0.0,44.355714285714285,
2024-04-18,45.2,42.35,42.2,45.5,59016774.0,2541878650.67,1.0,48.83,39.95,43.07,44.39,0.0,43.59285714285715,
2024-04-19,42.0,41.68,41.22,42.34,38425460.0,1601560704.13,1.0,46.59,38.12,41.68,42.35,0.0,41.800000000000004,
2024-04-22,41.99,41.86,41.46,42.17,27806445.0,1163954982.66,1.0,45.85,37.51,41.859,41.68,0.0,41.88428571428572,
2024-04-23,41.86,44.07,41.8,44.27,49366110.0,2134259117.47,1.0,46.05,37.67,43.233,41.86,0.0,43.142857142857146,
2024-04-24,43.96,43.7,43.4,44.2,21625198.0,946244236.26,1.0,48.48,39.66,43.757,44.07,0.0,43.80285714285714,
2024-04-25,43.7,44.3,43.5,44.97,24469103.0,1085861364.42,1.0,48.07,39.33,44.377,43.7,0.0,44.11,
2024-04-26,44.2,45.61,44.17,45.79,34278262.0,1550025297.08,1.0,48.73,39.87,45.219,44.3,0.0,45.027142857142856,43.64414285714285
2024-04-29,45.6,46.18,45.53,46.86,34279567.0,1586424721.58,1.0,50.17,41.05,46.279,45.61,0.0,46.01857142857143,43.80028571428572
2024-04-30,46.39,46.16,45.85,46.85,19250243.0,893082209.97,1.0,50.8,41.56,46.393,46.18,0.0,46.28000000000001,44.001428571428576
2024-05-06,46.93,47.16,46.42,47.87,32582423.0,1541063569.27,1.0,50.78,41.54,47.297,46.16,0.0,47.089999999999996,44.27485714285715
2024-05-07,47.16,47.23,47.02,47.5,20377965.0,964125270.19,1.0,51.88,42.44,47.312,47.16,0.0,47.21857142857142,44.63742857142857
2024-05-08,47.26,46.42,46.25,47.37,26129151.0,1217234952.37,1.0,51.95,42.51,46.585,47.23,0.0,46.771428571428565,45.13457142857143
2024-05-09,46.51,46.9,46.31,47.23,17514723.0,820722434.34,1.0,51.06,41.78,46.859,46.42,0.0,46.75142857142857,45.62128571428571
2024-05-10,46.79,46.48,46.19,47.05,15577277.0,725489832.34,1.0,51.59,42.21,46.574,46.9,0.0,46.60857142857143,45.96785714285714
2024-05-13,46.48,45.53,45.37,46.78,29175692.0,1338054190.87,1.0,51.13,41.83,45.862,46.48,0.0,45.95714285714286,46.18328571428571
2024-05-14,45.53,45.33,45.22,45.78,19723737.0,897260526.27,1.0,50.08,40.98,45.491,45.53,0.0,45.4357142857143,46.31585714285715
2024-05-15,45.34,44.67,44.53,45.42,15942898.0,713465988.68,1.0,49.86,40.8,44.751,45.33,0.0,44.94857142857143,46.30800000000001
2024-05-16,45.0,44.69,44.4,45.11,23437708.0,1048106877.62,1.0,49.14,40.2,44.719,44.67,0.0,44.79714285714285,46.18585714285714
2024-05-17,45.5,44.75,44.07,46.23,37685549.0,1689843524.06,1.0,49.16,40.22,44.841,44.69,0.0,45.07857142857143,46.065714285714286
2024-05-20,44.28,43.81,43.48,44.79,39702265.0,1742797463.74,1.0,49.23,40.28,43.897,44.75,0.0,44.03714285714286,45.76042857142857
2024-05-21,43.72,43.8,43.42,44.16,24438325.0,1071157251.35,1.0,48.19,39.43,43.831,43.81,0.0,43.77428571428572,45.416000000000004
2024-05-22,43.9,43.54,43.4,43.96,25238847.0,1100081619.8,1.0,48.18,39.42,43.587,43.8,0.0,43.68285714285714,45.10714285714286
2024-05-23,43.54,43.05,42.9,43.59,19702407.0,848668344.93,1.0,47.89,39.19,43.074,43.54,0.0,43.24571428571427,44.756571428571434
2024-05-24,43.05,42.44,42.38,43.18,22038350.0,939654300.98,1.0,47.36,38.75,42.637,43.05,0.0,42.71142857142856,44.36685714285714
2024-05-27,42.33,42.7,41.82,42.9,30678196.0,1300950779.09,1.0,46.68,38.2,42.406,42.44,0.0,42.49714285714286,44.02085714285714
2024-05-28,42.7,43.27,42.36,43.59,37427881.0,1616893172.35,1.0,46.97,38.43,43.2,42.7,0.0,43.02285714285715,43.77957142857143
2024-05-29,43.25,43.02,42.95,43.48,16676675.0,719612072.51,1.0,47.6,38.94,43.151,43.27,0.0,43.14142857142857,43.59885714285714
2024-05-30,43.05,42.88,42.54,43.24,13247711.0,567669926.16,1.0,47.32,38.72,42.85,43.02,0.0,42.931428571428576,43.412285714285716
2024-05-31,43.4,42.36,42.36,43.59,22865066.0,980570414.09,1.0,47.17,38.59,42.885,42.88,0.0,42.83285714285715,43.187714285714286
2024-06-03,42.22,42.5,42.07,42.69,18780093.0,796785130.01,1.0,46.6,38.12,42.427,42.36,0.0,42.385714285714286,43.022571428571425
2024-06-04,42.45,43.83,42.36,44.0,35813890.0,1561008548.51,1.0,46.75,38.25,43.587,42.5,0.0,43.25,42.970142857142854
2024-06-05,43.83,43.92,43.69,44.3,18067577.0,794605428.6,1.0,48.21,39.45,43.98,43.83,0.0,43.91571428571428,42.993428571428566
2024-06-06,43.65,42.91,42.8,44.1,22586853.0,978566367.33,1.0,48.31,39.53,43.325,43.92,0.0,43.27571428571429,42.996428571428574
2024-06-07,42.99,42.15,42.15,43.26,23854735.0,1013241225.15,1.0,47.2,38.62,42.475,42.91,0.0,42.54857142857143,42.980142857142866
2024-06-11,42.0,42.72,41.7,42.81,25112141.0,1062111846.35,1.0,46.37,37.94,42.295,42.15,0.0,42.38142857142857,42.96857142857143
2024-06-12,42.73,42.1,41.91,42.73,21850545.0,922178801.6,1.0,46.99,38.45,42.204,42.72,0.0,42.34285714285714,42.90057142857143
2024-06-13,42.1,42.06,41.53,42.43,20729821.0,872698850.18,1.0,46.31,37.89,42.099,42.1,0.0,42.048571428571435,42.79128571428571
2024-06-14,41.9,41.9,41.08,42.1,41537240.0,1729630309.13,1.0,46.27,37.85,41.64,42.06,0.0,41.81142857142857,42.67928571428572
2024-06-17,41.6,42.53,41.59,42.7,24198112.0,1024367305.7,1.0,46.09,37.71,42.333,41.9,0.0,42.15428571428572,42.611428571428576
2024-06-18,42.5,41.97,41.81,42.71,20392334.0,860147200.32,1.0,46.78,38.28,42.18,42.53,0.0,42.20428571428572,42.59328571428571
2024-06-19,42.0,41.36,41.21,42.26,20101128.0,836081464.81,1.0,46.17,37.77,41.594,41.97,0.0,41.64999999999999,42.43328571428572
2024-06-20,41.34,40.6,40.58,41.77,24782740.0,1013799894.64,1.0,45.5,37.22,40.907,41.36,0.0,40.97571428571429,42.13928571428572
2024-06-21,40.7,40.04,39.77,40.8,36455301.0,1459102929.25,1.0,44.66,36.54,40.024,40.6,0.0,40.29857142857143,41.84157142857143
2024-06-24,40.0,40.29,39.54,40.64,27893044.0,1123508475.05,1.0,44.04,36.04,40.279,40.04,0.0,40.15,41.60171428571429
2024-06-25,40.51,39.7,39.45,40.58,22458955.0,895023381.75,1.0,44.32,36.26,39.852,40.29,0.0,40.021428571428565,41.36571428571428
2024-06-26,39.69,39.9,39.43,40.04,22323523.0,887607506.09,1.0,43.67,35.73,39.761,39.7,0.0,39.79285714285714,41.11071428571428
2024-06-27,39.85,39.24,39.0,39.85,27183773.0,1064851487.88,1.0,43.89,35.91,39.172,39.9,0.0,39.46714285714285,40.85257142857143
2024-06-28,39.2,38.46,38.33,39.44,30925798.0,1199640450.62,1.0,43.16,35.32,38.791,39.24,0.0,38.792857142857144,40.55071428571428
2024-07-01,38.45,38.27,37.8,38.47,23890913.0,911326444.11,1.0,42.31,34.61,38.145,38.46,0.0,38.28285714285715,40.16357142857143
2024-07-02,38.23,37.47,37.24,38.25,31084695.0,1168354207.35,1.0,42.1,34.44,37.586,38.27,0.0,37.76571428571429,39.71971428571429
2024-07-03,37.6,38.67,37.33,39.6,55275948.0,2137708980.02,1.0,41.22,33.72,38.673,37.47,0.0,38.30571428571428,39.38528571428571
2024-07-04,38.67,38.45,38.33,39.45,28925733.0,1120476865.18,1.0,42.54,34.8,38.736,38.67,0.0,38.638571428571424,39.15157142857142
2024-07-05,38.46,40.03,38.1,40.3,49365271.0,1942122105.92,1.0,42.3,34.61,39.342,38.45,0.0,39.34428571428572,39.05614285714286
2024-07-08,39.2,39.21,38.44,40.1,49986820.0,1964892356.83,1.0,44.03,36.03,39.308,40.03,0.0,39.22428571428571,38.96357142857143
2024-07-09,39.12,38.99,38.01,39.48,40106262.0,1555216746.81,1.0,43.13,35.29,38.777,39.21,0.0,38.957142857142856,38.857142857142854
2024-07-10,39.0,39.41,38.88,39.79,20232304.0,796385784.82,1.0,42.89,35.09,39.362,38.99,0.0,39.271428571428565,38.805
2024-07-11,39.79,40.6,39.3,41.14,37980200.0,1538773534.27,1.0,43.35,35.47,40.515,39.41,0.0,40.26,38.88428571428572
2024-07-12,40.84,41.27,40.48,41.5,31501013.0,1296947585.63,1.0,44.44,36.36,41.172,40.4,0.0,41.06714285714286,39.111714285714285
2024-07-15,41.0,40.78,40.46,41.29,20710958.0,845176103.35,1.0,45.4,37.14,40.808,41.27,0.0,40.87,39.37042857142857
2024-07-16,40.65,40.95,40.42,41.06,22626802.0,924082558.46,1.0,44.86,36.7,40.84,40.78,0.0,40.80428571428571,39.674285714285716
2024-07-17,40.58,41.74,40.5,42.15,35683208.0,1488713788.87,1.0,45.05,36.86,41.72,40.95,0.0,41.29,39.97271428571428
2024-07-18,41.8,42.15,41.7,42.42,30712230.0,1292463142.83,1.0,45.91,37.57,42.083,41.74,0.0,42.02428571428571,40.31128571428572
2024-07-19,42.08,42.23,41.93,42.48,27751083.0,1171709540.64,1.0,46.37,37.94,42.222,42.15,0.0,42.18,40.594857142857144
2024-07-22,42.22,42.77,41.85,43.1,32570326.0,1391175547.94,1.0,46.45,38.01,42.713,42.23,0.0,42.528571428571425,40.925285714285714
2024-07-23,42.73,41.41,41.35,42.82,36689667.0,1532779454.34,1.0,47.05,38.49,41.777,42.77,0.0,41.980000000000004,41.22757142857143
2024-07-24,41.29,41.4,41.2,42.06,20035166.0,832921591.72,1.0,45.55,37.27,41.573,41.41,0.0,41.43428571428571,41.44385714285714
2024-07-25,41.22,41.46,40.7,41.88,21908030.0,908502720.51,1.0,45.54,37.26,41.469,41.4,0.0,41.34285714285714,41.552142857142854
2024-07-26,41.46,41.07,40.59,41.58,22115817.0,907314993.97,1.0,45.61,37.31,41.026,41.46,0.0,41.185714285714276,41.56399999999999
2024-07-29,41.02,40.49,40.39,41.36,23478909.0,956395684.56,1.0,45.18,36.96,40.734,41.07,0.0,40.75142857142857,41.55214285714286
2024-07-30,40.5,40.0,39.62,40.66,24261502.0,969474035.62,1.0,44.54,36.44,39.959,40.49,0.0,40.18285714285714,41.489999999999995
2024-07-31,39.99,42.21,39.7,42.36,39572420.0,1638778249.18,1.0,44.0,36.0,41.412,40.0,0.0,41.23857142857143,41.48485714285714
2024-08-01,42.19,41.95,41.75,42.5,17431319.0,733290056.04,1.0,46.43,37.99,42.067,42.21,0.0,42.06857142857143,41.489285714285714
2024-08-02,41.89,42.17,41.8,42.98,25582033.0,1085719969.98,1.0,46.15,37.76,42.441,41.95,0.0,42.152857142857144,41.48657142857142
2024-08-05,42.17,42.65,42.11,43.58,32358803.0,1386017875.38,1.0,46.39,37.95,42.833,42.17,0.0,42.56857142857143,41.49057142857143
2024-08-06,42.63,42.91,42.48,43.18,21771513.0,931702110.54,1.0,46.92,38.39,42.795,42.65,0.0,42.807142857142864,41.57328571428572
2024-08-07,42.88,42.15,42.11,42.89,17729345.0,751651391.07,1.0,47.2,38.62,42.396,42.91,0.0,42.458571428571425,41.675714285714285
2024-08-08,42.11,42.58,42.11,42.89,16488658.0,700866799.62,1.0,46.37,37.94,42.506,42.15,0.0,42.42285714285714,41.78371428571428
2024-08-09,42.7,42.42,42.41,43.3,15598427.0,666579242.27,1.0,46.84,38.32,42.734,42.58,0.0,42.62428571428571,41.927571428571426
2024-08-12,42.22,43.63,42.21,43.96,33283489.0,1447922052.4,1.0,46.66,38.18,43.503,42.42,0.0,43.07142857142857,42.15957142857143
2024-08-13,43.6,42.67,42.4,43.6,22723619.0,973012156.36,1.0,47.99,39.27,42.819,43.63,0.0,43.029999999999994,42.44428571428571
2024-08-14,42.95,42.5,42.09,42.98,14184673.0,602382870.74,1.0,46.94,38.4,42.467,42.67,0.0,42.63857142857143,42.58428571428571
2024-08-15,42.38,42.92,42.32,43.65,21424655.0,921651489.73,1.0,46.75,38.25,43.018,42.5,0.0,42.78428571428571,42.655857142857144
2024-08-16,42.6,43.12,42.3,43.21,15694280.0,673487374.68,1.0,47.21,38.63,42.913,42.92,0.0,42.86714285714286,42.72728571428571
2024-08-19,43.21,42.11,41.77,43.6,23967290.0,1014833544.98,1.0,47.43,38.81,42.342,43.12,0.0,42.58857142857143,42.729285714285716
2024-08-20,42.1,42.25,41.8,42.38,15398722.0,648578630.99,1.0,46.32,37.9,42.119,42.11,0.0,42.16142857142857,42.66471428571428
2024-08-21,42.19,42.31,42.04,42.8,16231298.0,688060044.38,1.0,46.48,38.03,42.391,42.25,0.0,42.307142857142864,42.64957142857143
2024-08-22,43.21,43.93,42.63,44.27,53734750.0,2349925930.75,1.0,46.54,38.08,43.732,42.31,0.0,43.58714285714285,42.766
2024-08-23,43.68,43.62,43.08,43.95,27750880.0,1208090957.81,1.0,48.32,39.54,43.533,43.93,0.0,43.60714285714285,42.864285714285714
2024-08-26,43.61,43.32,42.8,43.8,24522498.0,1059543421.07,1.0,47.98,39.26,43.207,43.62,0.0,43.39714285714286,42.896857142857144
2024-08-27,43.27,43.6,43.11,43.98,22626754.0,987526035.5,1.0,47.65,38.99,43.644,43.32,0.0,43.49000000000001,42.94285714285714
2024-08-28,43.6,43.5,43.15,44.08,20622688.0,896690756.75,1.0,47.96,39.24,43.481,43.6,0.0,43.561428571428564,43.03514285714286
2024-08-29,43.48,44.32,43.3,44.55,30523004.0,1349314946.42,1.0,47.85,39.15,44.206,43.5,0.0,43.96714285714286,43.15342857142857
2024-08-30,44.44,44.13,43.93,44.5,31328037.0,1385994563.45,1.0,48.75,39.89,44.241,44.32,0.0,44.24285714285714,43.291
2024-09-02,44.01,43.9,43.02,44.37,25800846.0,1128406266.44,1.0,48.54,39.72,43.735,44.13,0.0,43.872857142857136,43.41942857142857
